UniProt Accession for Protein Group,UniProt ID for Protein Group,UniProt Protein Description,Quantified Peptides,,Quantified PSMs (Rep 1),,Normalized TMT 10-plex reporter ion distribution (Replicate 1),,,,,,,,,,Normalized TMT 10-plex reporter ion distribution (Replicate 2),,,,,,,,,,Phenotype discovery and SVM classification of protein localization,,,,,,,,,Subcellular Curation,,,,,,,,
,,,Experiment 1,Experiment 2,Experiment 1,Experiment 2,126,127N,127C,128N,128C,129N,129C,130N,130C,131,126,127N,127C,128N,128C,129N,129C,130N,130C,131,phenoDisco Input,phenoDisco Output,Curated phenoDisco Output,SVM marker set,SVM classification,SVM score,SVM classification (top quartile),Final Localization Assignment,First localization evidence?,Curated Organelles,Cytoskeletal Components,Trafficking Proteins,Protein Complexes,Signaling Cascades,Oct4 Interactome,Nanog Interactome,Sox2 Interactome,Cell Surface Proteins
P56391,CX6B1_MOUSE,Cytochrome c oxidase subunit 6B1 OS=Mus musculus GN=Cox6b1 PE=1 SV=2 - [CX6B1_MOUSE],6,6,10,22,0.000,0.005,0.010,0.003,0.036,0.074,0.171,0.357,0.076,0.267,0.001,0.010,0.011,0.013,0.023,0.066,0.398,0.230,0.112,0.136,unknown,unknown,unknown,unknown,Mitochondrion,0.968,unclassified,Mitochondrion,N,,,,,,,,,
P61021,RAB5B_MOUSE,Ras-related protein Rab-5B OS=Mus musculus GN=Rab5b PE=1 SV=1 - [RAB5B_MOUSE],6,5,10,8,0.014,0.127,0.157,0.086,0.216,0.149,0.073,0.084,0.012,0.083,0.025,0.104,0.112,0.173,0.201,0.183,0.104,0.058,0.019,0.021,unknown,unknown,unknown,unknown,Endosome,0.357,unclassified,unclassified,N,,,Rab proteins,Rab proteins,,,,,
P62245,RS15A_MOUSE,40S ribosomal protein S15a OS=Mus musculus GN=Rps15a PE=2 SV=2 - [RS15A_MOUSE],6,7,10,12,0.300,0.077,0.087,0.031,0.064,0.060,0.047,0.077,0.060,0.197,0.184,0.051,0.057,0.062,0.063,0.082,0.067,0.041,0.059,0.334,40S Ribosome,40S Ribosome,40S Ribosome,40S Ribosome,40S Ribosome,1.000,40S Ribosome,40S Ribosome,N,,,,,,,,,
P97376,FRG1_MOUSE,Protein FRG1 OS=Mus musculus GN=Frg1 PE=1 SV=2 - [FRG1_MOUSE],6,8,10,13,0.190,0.075,0.137,0.058,0.072,0.053,0.055,0.123,0.107,0.131,0.173,0.046,0.100,0.070,0.073,0.069,0.059,0.070,0.161,0.179,unknown,unknown,unknown,unknown,60S Ribosome,0.330,unclassified,unclassified,N,,,,,,Prey,,,
Q5SYH2,TM199_MOUSE,Transmembrane protein 199 OS=Mus musculus GN=Tmem199 PE=2 SV=1 - [TM199_MOUSE],6,6,10,7,0.002,0.083,0.078,0.042,0.128,0.192,0.109,0.197,0.017,0.152,0.002,0.058,0.091,0.132,0.193,0.247,0.137,0.097,0.025,0.018,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.947,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Y,,,,,,,,,
Q61187,TS101_MOUSE,Tumor susceptibility gene 101 protein OS=Mus musculus GN=Tsg101 PE=1 SV=2 - [TS101_MOUSE],6,7,10,11,0.109,0.212,0.150,0.087,0.138,0.090,0.056,0.072,0.027,0.060,0.079,0.152,0.123,0.131,0.166,0.118,0.076,0.035,0.043,0.077,unknown,unknown,unknown,unknown,Actin cytoskeleton,0.439,unclassified,unclassified,N,,,,,,,,,
Q61188,EZH2_MOUSE,Histone-lysine N-methyltransferase EZH2 OS=Mus musculus GN=Ezh2 PE=1 SV=2 - [EZH2_MOUSE],6,8,10,11,0.058,0.007,0.010,0.001,0.011,0.023,0.097,0.285,0.237,0.270,0.069,0.004,0.014,0.015,0.017,0.041,0.081,0.160,0.467,0.133,unknown,Phenotype 1,Nucleus - Chromatin,Nucleus - Chromatin,Nucleus - Chromatin,1.000,Nucleus - Chromatin,Nucleus - Chromatin,N,,,,,,,Prey,,
Q6PFE7-3,TEFF1_MOUSE,Isoform 3 of Tomoregulin-1 OS=Mus musculus GN=Tmeff1 - [TEFF1_MOUSE],6,5,10,10,0.002,0.214,0.243,0.115,0.174,0.117,0.046,0.047,0.009,0.033,0.001,0.090,0.125,0.168,0.242,0.208,0.099,0.048,0.010,0.009,unknown,unknown,unknown,unknown,Plasma membrane,0.515,unclassified,unclassified,N,,,,,,,,,
Q78ZA7,NP1L4_MOUSE,Nucleosome assembly protein 1-like 4 OS=Mus musculus GN=Nap1l4 PE=1 SV=1 - [NP1L4_MOUSE],6,8,10,14,0.562,0.122,0.114,0.039,0.053,0.039,0.015,0.023,0.015,0.017,0.468,0.090,0.129,0.090,0.083,0.063,0.029,0.013,0.017,0.018,unknown,Phenotype 5,unknown,unknown,Cytosol,0.768,unclassified,Cytosol,N,,,,,,,,,
Q8BFW7,LPP_MOUSE,Lipoma-preferred partner homolog OS=Mus musculus GN=Lpp PE=1 SV=1 - [LPP_MOUSE],6,6,10,10,0.053,0.290,0.150,0.106,0.132,0.086,0.045,0.053,0.027,0.058,0.063,0.179,0.158,0.158,0.139,0.125,0.059,0.032,0.041,0.047,unknown,Phenotype 9,unknown,unknown,Actin cytoskeleton,0.563,Actin cytoskeleton,Actin cytoskeleton,N,,,,,,,,,
Q8BMB3,IF4E2_MOUSE,Eukaryotic translation initiation factor 4E type 2 OS=Mus musculus GN=Eif4e2 PE=1 SV=1 - [IF4E2_MOUSE],6,7,10,13,0.216,0.081,0.057,0.025,0.065,0.066,0.080,0.111,0.055,0.245,0.101,0.050,0.056,0.053,0.066,0.071,0.076,0.052,0.061,0.415,unknown,unknown,unknown,unknown,40S Ribosome,0.489,unclassified,unclassified,Y,,,,,,,,,
Q8CCG4,DPPA4_MOUSE,Developmental pluripotency-associated protein 4 OS=Mus musculus GN=Dppa4 PE=1 SV=2 - [DPPA4_MOUSE],6,6,10,8,0.015,0.003,0.003,0.002,0.010,0.033,0.115,0.265,0.241,0.314,0.026,0.002,0.005,0.005,0.009,0.035,0.114,0.222,0.497,0.084,unknown,Phenotype 1,Nucleus - Chromatin,Nucleus - Chromatin,Nucleus - Chromatin,1.000,Nucleus - Chromatin,Nucleus - Chromatin,N,,,,,Pluripotency,,,,
Q8K2P7,S38A1_MOUSE,Sodium-coupled neutral amino acid transporter 1 OS=Mus musculus GN=Slc38a1 PE=1 SV=1 - [S38A1_MOUSE],6,6,10,13,0.001,0.141,0.141,0.139,0.264,0.154,0.074,0.045,0.007,0.032,0.004,0.120,0.141,0.192,0.241,0.172,0.075,0.035,0.012,0.008,unknown,unknown,unknown,unknown,Lysosome,0.432,unclassified,unclassified,N,,,,,,,,,
Q8VDD8,WASH1_MOUSE,WAS protein family homolog 1 OS=Mus musculus GN=Wash1 PE=2 SV=1 - [WASH1_MOUSE],6,8,10,11,0.059,0.077,0.135,0.114,0.338,0.155,0.045,0.045,0.012,0.020,0.046,0.048,0.090,0.182,0.274,0.247,0.053,0.030,0.012,0.016,unknown,unknown,unknown,unknown,Endosome,0.605,Endosome,Endosome,N,,,,WASH complex,,,,,
Q91YU8,SSF1_MOUSE,Suppressor of SWI4 1 homolog OS=Mus musculus GN=Ppan PE=2 SV=2 - [SSF1_MOUSE],6,10,10,17,0.216,0.009,0.025,0.000,0.010,0.025,0.029,0.100,0.396,0.189,0.152,0.020,0.033,0.031,0.041,0.043,0.052,0.038,0.281,0.308,unknown,Phenotype 2,Nucleus - Non-chromatin,Nucleus - Non-chromatin,Nucleus - Non-chromatin,1.000,Nucleus - Non-chromatin,Nucleus - Non-chromatin,N,,,,,,,,,
Q99JR1,SFXN1_MOUSE,Sideroflexin-1 OS=Mus musculus GN=Sfxn1 PE=1 SV=3 - [SFXN1_MOUSE],6,9,10,11,0.000,0.006,0.018,0.010,0.031,0.087,0.243,0.275,0.073,0.257,0.006,0.018,0.018,0.021,0.035,0.085,0.380,0.212,0.096,0.128,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q99KH8,STK24_MOUSE,Serine/threonine-protein kinase 24 OS=Mus musculus GN=Stk24 PE=1 SV=1 - [STK24_MOUSE],6,6,10,9,0.075,0.236,0.165,0.110,0.115,0.074,0.038,0.085,0.028,0.075,0.080,0.160,0.150,0.143,0.159,0.093,0.065,0.046,0.058,0.046,unknown,unknown,unknown,unknown,Actin cytoskeleton,0.570,Actin cytoskeleton,Actin cytoskeleton,N,,,,,,,,,
Q99MR3,S12A9_MOUSE,Solute carrier family 12 member 9 OS=Mus musculus GN=Slc12a9 PE=1 SV=2 - [S12A9_MOUSE],6,9,10,11,0.000,0.090,0.158,0.150,0.340,0.161,0.046,0.037,0.002,0.016,0.004,0.088,0.113,0.174,0.331,0.156,0.091,0.025,0.010,0.010,unknown,Phenotype 3,unknown,unknown,Lysosome,0.809,Lysosome,Lysosome,N,,,,,,,,,
Q99PT1,GDIR1_MOUSE,Rho GDP-dissociation inhibitor 1 OS=Mus musculus GN=Arhgdia PE=1 SV=3 - [GDIR1_MOUSE],6,5,10,11,0.401,0.233,0.165,0.067,0.075,0.026,0.011,0.012,0.002,0.008,0.474,0.093,0.119,0.096,0.102,0.061,0.033,0.006,0.009,0.006,unknown,Phenotype 5,unknown,unknown,Cytosol,0.847,Cytosol,Cytosol,Y,,,,,,,,,
Q9CQH3,NDUB5_MOUSE,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Mus musculus GN=Ndufb5 PE=1 SV=1 - [NDUB5_MOUSE]",6,2,10,4,0.000,0.009,0.009,0.011,0.029,0.101,0.355,0.223,0.064,0.200,0.002,0.007,0.013,0.014,0.023,0.090,0.332,0.325,0.073,0.120,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,NADH dehydrogenase,,,,,High Confidence
Q9CQU3,RER1_MOUSE,Protein RER1 OS=Mus musculus GN=Rer1 PE=1 SV=1 - [RER1_MOUSE],6,3,10,10,0.000,0.039,0.059,0.072,0.171,0.226,0.117,0.164,0.012,0.141,0.002,0.041,0.083,0.140,0.203,0.288,0.131,0.080,0.014,0.018,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.928,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q9CRD0,OCAD1_MOUSE,OCIA domain-containing protein 1 OS=Mus musculus GN=Ociad1 PE=1 SV=1 - [OCAD1_MOUSE],6,5,10,7,0.006,0.017,0.021,0.013,0.033,0.093,0.272,0.235,0.074,0.236,0.003,0.013,0.013,0.021,0.027,0.112,0.316,0.274,0.099,0.122,unknown,Mitochondrion,unknown,unknown,Mitochondrion,0.984,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9D0M3-2,CY1_MOUSE,"Isoform 2 of Cytochrome c1, heme protein, mitochondrial OS=Mus musculus GN=Cyc1 - [CY1_MOUSE]",6,5,10,13,0.001,0.012,0.014,0.012,0.038,0.075,0.173,0.315,0.086,0.273,0.000,0.014,0.008,0.019,0.021,0.092,0.400,0.194,0.112,0.141,unknown,Mitochondrion,unknown,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9D1C1,UBE2C_MOUSE,Ubiquitin-conjugating enzyme E2 C OS=Mus musculus GN=Ube2c PE=2 SV=1 - [UBE2C_MOUSE],6,3,10,5,0.491,0.111,0.097,0.057,0.080,0.044,0.022,0.039,0.014,0.046,0.451,0.061,0.126,0.107,0.092,0.067,0.022,0.024,0.019,0.031,unknown,Phenotype 5,unknown,unknown,Cytosol,0.817,unclassified,Cytosol,Y,,,,,,,,,
Q9EQ28,DPOD3_MOUSE,DNA polymerase delta subunit 3 OS=Mus musculus GN=Pold3 PE=1 SV=2 - [DPOD3_MOUSE],6,8,10,11,0.246,0.017,0.023,0.000,0.012,0.022,0.081,0.283,0.083,0.233,0.361,0.024,0.051,0.026,0.033,0.048,0.081,0.130,0.103,0.144,unknown,unknown,unknown,unknown,Mitochondrion,0.177,unclassified,unclassified,N,,,,,,,,,
Q9ESP1,SDF2L_MOUSE,Stromal cell-derived factor 2-like protein 1 OS=Mus musculus GN=Sdf2l1 PE=2 SV=2 - [SDF2L_MOUSE],6,5,10,6,0.013,0.073,0.079,0.050,0.160,0.221,0.115,0.137,0.022,0.130,0.011,0.043,0.075,0.118,0.169,0.258,0.168,0.081,0.036,0.042,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,1.000,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q9JKA5,GPA33_MOUSE,Cell surface A33 antigen OS=Mus musculus GN=Gpa33 PE=2 SV=2 - [GPA33_MOUSE],6,4,10,8,0.001,0.284,0.205,0.131,0.206,0.094,0.037,0.025,0.001,0.016,0.002,0.231,0.161,0.157,0.195,0.121,0.096,0.021,0.006,0.009,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,1.000,Plasma membrane,Plasma membrane,N,,,,,,,,,
O08553,DPYL2_MOUSE,Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2 - [DPYL2_MOUSE],6,6,9,12,0.126,0.077,0.075,0.035,0.046,0.046,0.076,0.259,0.027,0.233,0.164,0.113,0.093,0.082,0.101,0.067,0.083,0.110,0.064,0.123,unknown,unknown,unknown,unknown,60S Ribosome,0.203,unclassified,unclassified,N,,,,,,,,,
O35598,ADA10_MOUSE,Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus GN=Adam10 PE=1 SV=2 - [ADA10_MOUSE],6,10,9,12,0.000,0.244,0.186,0.117,0.218,0.122,0.053,0.032,0.000,0.027,0.006,0.155,0.135,0.163,0.190,0.166,0.122,0.037,0.015,0.011,unknown,Plasma membrane,unknown,unknown,Plasma membrane,0.849,Plasma membrane,Plasma membrane,N,,,,,,,,,High Confidence
O55091,IMPCT_MOUSE,Protein IMPACT OS=Mus musculus GN=Impact PE=1 SV=2 - [IMPCT_MOUSE],6,10,9,18,0.386,0.099,0.122,0.055,0.053,0.054,0.047,0.071,0.023,0.089,0.317,0.086,0.106,0.088,0.096,0.077,0.051,0.041,0.023,0.114,unknown,unknown,unknown,unknown,Cytosol,0.371,unclassified,unclassified,Y,,,,,,,,,
O70439,STX7_MOUSE,Syntaxin-7 OS=Mus musculus GN=Stx7 PE=1 SV=3 - [STX7_MOUSE],6,8,9,15,0.000,0.077,0.160,0.132,0.314,0.177,0.053,0.049,0.003,0.036,0.002,0.070,0.133,0.212,0.274,0.198,0.073,0.028,0.006,0.005,unknown,unknown,unknown,unknown,Lysosome,0.844,Lysosome,Lysosome,N,,,,,,,,,High Confidence
O89017,LGMN_MOUSE,Legumain OS=Mus musculus GN=Lgmn PE=1 SV=1 - [LGMN_MOUSE],6,6,9,7,0.000,0.096,0.203,0.119,0.345,0.150,0.031,0.036,0.000,0.020,0.008,0.080,0.119,0.199,0.307,0.162,0.080,0.024,0.014,0.007,unknown,Phenotype 3,unknown,unknown,Lysosome,0.785,Lysosome,Lysosome,N,,,,,,,,,
P00405,COX2_MOUSE,Cytochrome c oxidase subunit 2 OS=Mus musculus GN=Mtco2 PE=1 SV=1 - [COX2_MOUSE],6,4,9,7,0.000,0.016,0.035,0.016,0.038,0.072,0.146,0.291,0.094,0.292,0.004,0.015,0.017,0.022,0.031,0.082,0.365,0.227,0.102,0.136,unknown,unknown,unknown,unknown,Mitochondrion,0.966,unclassified,Mitochondrion,N,,,,,,,,,
P00920,CAH2_MOUSE,Carbonic anhydrase 2 OS=Mus musculus GN=Ca2 PE=1 SV=4 - [CAH2_MOUSE],6,6,9,14,0.565,0.111,0.131,0.055,0.046,0.034,0.026,0.015,0.008,0.009,0.544,0.069,0.117,0.084,0.074,0.049,0.023,0.013,0.011,0.016,unknown,Phenotype 5,unknown,unknown,Cytosol,0.834,Cytosol,Cytosol,N,,,,,,,,,
P16110,LEG3_MOUSE,Galectin-3 OS=Mus musculus GN=Lgals3 PE=1 SV=3 - [LEG3_MOUSE],6,2,9,5,0.117,0.203,0.141,0.075,0.172,0.092,0.066,0.061,0.035,0.039,0.166,0.109,0.131,0.116,0.121,0.142,0.115,0.040,0.038,0.023,unknown,unknown,unknown,unknown,Actin cytoskeleton,0.225,unclassified,unclassified,N,,,,,,,,,
P62869,ELOB_MOUSE,Transcription elongation factor B polypeptide 2 OS=Mus musculus GN=Tceb2 PE=1 SV=1 - [ELOB_MOUSE],6,5,9,6,0.501,0.099,0.087,0.050,0.071,0.043,0.024,0.048,0.033,0.044,0.421,0.092,0.098,0.069,0.098,0.047,0.050,0.020,0.057,0.047,unknown,unknown,unknown,unknown,Proteasome,0.544,unclassified,unclassified,N,,,,,,,,,
P67871,CSK2B_MOUSE,Casein kinase II subunit beta OS=Mus musculus GN=Csnk2b PE=1 SV=1 - [CSK2B_MOUSE],6,5,9,9,0.380,0.086,0.102,0.054,0.064,0.056,0.040,0.090,0.062,0.065,0.306,0.072,0.102,0.080,0.102,0.096,0.057,0.047,0.070,0.067,unknown,unknown,unknown,unknown,Cytosol,0.351,unclassified,unclassified,N,,,,,,,,,
Q64092-4,TFE3_MOUSE,Isoform 4 of Transcription factor E3 OS=Mus musculus GN=Tfe3 - [TFE3_MOUSE],6,4,9,5,0.032,0.055,0.058,0.021,0.037,0.051,0.090,0.266,0.155,0.235,0.030,0.092,0.096,0.087,0.115,0.098,0.125,0.118,0.170,0.068,unknown,unknown,unknown,unknown,Mitochondrion,0.166,unclassified,unclassified,N,,,Tfe3,,Pluripotency,,,,
Q6PE15,ABHDA_MOUSE,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Mus musculus GN=Abhd10 PE=2 SV=1 - [ABHDA_MOUSE]",6,8,9,8,0.001,0.010,0.013,0.010,0.024,0.101,0.320,0.238,0.017,0.265,0.007,0.011,0.012,0.016,0.028,0.079,0.404,0.272,0.029,0.141,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q8BWW4,LARP4_MOUSE,La-related protein 4 OS=Mus musculus GN=Larp4 PE=1 SV=2 - [LARP4_MOUSE],6,7,9,11,0.261,0.041,0.066,0.020,0.048,0.079,0.090,0.130,0.119,0.146,0.160,0.031,0.048,0.045,0.045,0.077,0.125,0.105,0.116,0.248,unknown,unknown,unknown,unknown,60S Ribosome,0.481,60S Ribosome,unclassified,Y,,,,,,,,,
Q8K012-2,FBP1L_MOUSE,Isoform 2 of Formin-binding protein 1-like OS=Mus musculus GN=Fnbp1l - [FBP1L_MOUSE],6,5,9,7,0.036,0.130,0.074,0.068,0.079,0.123,0.117,0.156,0.073,0.144,0.041,0.150,0.099,0.103,0.144,0.122,0.096,0.091,0.098,0.057,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.305,unclassified,unclassified,N,,,,,,,,,
Q8K3J1,NDUS8_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Mus musculus GN=Ndufs8 PE=1 SV=1 - [NDUS8_MOUSE]",6,7,9,10,0.000,0.026,0.027,0.018,0.031,0.075,0.197,0.295,0.081,0.250,0.007,0.016,0.015,0.021,0.028,0.089,0.392,0.210,0.094,0.127,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,NADH dehydrogenase,,,,,
Q91YR9,PTGR1_MOUSE,Prostaglandin reductase 1 OS=Mus musculus GN=Ptgr1 PE=2 SV=2 - [PTGR1_MOUSE],6,8,9,15,0.458,0.133,0.123,0.052,0.068,0.033,0.025,0.036,0.010,0.063,0.441,0.084,0.117,0.086,0.078,0.061,0.030,0.017,0.019,0.066,unknown,unknown,unknown,unknown,Cytosol,0.764,unclassified,Cytosol,Y,,,,,,,,,
Q924K8,MTA3_MOUSE,Metastasis-associated protein MTA3 OS=Mus musculus GN=Mta3 PE=1 SV=1 - [MTA3_MOUSE],6,7,9,11,0.061,0.008,0.008,0.004,0.010,0.021,0.071,0.256,0.325,0.235,0.089,0.017,0.019,0.019,0.027,0.045,0.103,0.129,0.467,0.085,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.842,unclassified,Nucleus - Chromatin,N,,,,NuRD complex,,Prey,Prey,,
Q99M54,CDCA3_MOUSE,Cell division cycle-associated protein 3 OS=Mus musculus GN=Cdca3 PE=1 SV=2 - [CDCA3_MOUSE],6,5,9,10,0.024,0.319,0.160,0.101,0.154,0.074,0.042,0.070,0.018,0.038,0.018,0.192,0.164,0.140,0.158,0.142,0.078,0.043,0.027,0.039,unknown,unknown,unknown,unknown,Plasma membrane,0.588,unclassified,unclassified,N,,,,,,,,,
Q99N93,RM16_MOUSE,"39S ribosomal protein L16, mitochondrial OS=Mus musculus GN=Mrpl16 PE=2 SV=1 - [RM16_MOUSE]",6,7,9,9,0.000,0.000,0.015,0.000,0.026,0.102,0.221,0.289,0.075,0.272,0.018,0.019,0.018,0.025,0.038,0.096,0.342,0.243,0.065,0.136,unknown,Mitochondrion,unknown,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9CXK8,NIP7_MOUSE,60S ribosome subunit biogenesis protein NIP7 homolog OS=Mus musculus GN=Nip7 PE=2 SV=1 - [NIP7_MOUSE],6,4,9,8,0.221,0.017,0.039,0.010,0.031,0.033,0.041,0.101,0.347,0.161,0.150,0.020,0.033,0.052,0.047,0.062,0.043,0.030,0.307,0.256,unknown,Phenotype 2,Nucleus - Non-chromatin,Nucleus - Non-chromatin,Nucleus - Non-chromatin,1.000,Nucleus - Non-chromatin,Nucleus - Non-chromatin,N,,,,,,,,,
Q9D0B6,PBDC1_MOUSE,Protein PBDC1 OS=Mus musculus GN=Pbdc1 PE=2 SV=1 - [PBDC1_MOUSE],6,8,9,10,0.506,0.030,0.057,0.024,0.046,0.025,0.032,0.113,0.023,0.143,0.380,0.071,0.080,0.063,0.068,0.052,0.052,0.045,0.039,0.150,unknown,unknown,unknown,unknown,Proteasome,0.247,unclassified,unclassified,Y,,,,,,,,,
Q9D824-4,FIP1_MOUSE,Isoform 4 of Pre-mRNA 3'-end-processing factor FIP1 OS=Mus musculus GN=Fip1l1 - [FIP1_MOUSE],6,5,9,7,0.205,0.005,0.020,0.000,0.013,0.011,0.027,0.082,0.429,0.209,0.114,0.007,0.015,0.009,0.010,0.016,0.040,0.027,0.398,0.365,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.883,Nucleus - Non-chromatin,Nucleus - Non-chromatin,N,,,,Spliceosome,,,,,
Q9D8B3,CHM4B_MOUSE,Charged multivesicular body protein 4b OS=Mus musculus GN=Chmp4b PE=2 SV=2 - [CHM4B_MOUSE],6,7,9,13,0.244,0.190,0.153,0.082,0.126,0.062,0.022,0.042,0.040,0.039,0.230,0.119,0.134,0.137,0.130,0.108,0.041,0.023,0.052,0.025,unknown,unknown,unknown,unknown,Cytosol,0.308,unclassified,unclassified,N,,,,,,,,,
Q9ERF3,WDR61_MOUSE,WD repeat-containing protein 61 OS=Mus musculus GN=Wdr61 PE=2 SV=1 - [WDR61_MOUSE],6,6,9,15,0.423,0.060,0.074,0.013,0.031,0.037,0.050,0.049,0.150,0.113,0.325,0.037,0.061,0.044,0.046,0.058,0.049,0.045,0.126,0.209,unknown,unknown,unknown,unknown,40S Ribosome,0.259,unclassified,unclassified,N,,,,,,,,,
Q9JHI5,IVD_MOUSE,"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Ivd PE=1 SV=1 - [IVD_MOUSE]",6,8,9,11,0.018,0.016,0.034,0.017,0.047,0.079,0.156,0.314,0.014,0.305,0.005,0.015,0.018,0.025,0.042,0.104,0.385,0.238,0.010,0.157,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9Z0S1,BPNT1_MOUSE,"3'(2'),5'-bisphosphate nucleotidase 1 OS=Mus musculus GN=Bpnt1 PE=1 SV=2 - [BPNT1_MOUSE]",6,9,9,12,0.436,0.118,0.116,0.049,0.053,0.054,0.061,0.055,0.010,0.047,0.429,0.065,0.095,0.077,0.070,0.063,0.085,0.064,0.015,0.036,unknown,unknown,unknown,unknown,Cytosol,0.587,unclassified,unclassified,Y,,,,,,,,,
Q9Z1P6,NDUA7_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Mus musculus GN=Ndufa7 PE=1 SV=3 - [NDUA7_MOUSE],6,6,9,10,0.000,0.017,0.008,0.012,0.036,0.090,0.227,0.270,0.085,0.255,0.001,0.009,0.012,0.022,0.034,0.087,0.408,0.210,0.090,0.125,unknown,Mitochondrion,unknown,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,NADH dehydrogenase,,,,,
A6H611,MIPEP_MOUSE,Mitochondrial intermediate peptidase OS=Mus musculus GN=Mipep PE=2 SV=1 - [MIPEP_MOUSE],6,6,8,6,0.004,0.046,0.030,0.024,0.035,0.098,0.208,0.275,0.030,0.249,0.003,0.017,0.018,0.028,0.037,0.107,0.341,0.270,0.026,0.150,unknown,Mitochondrion,unknown,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
O08585,CLCA_MOUSE,Clathrin light chain A OS=Mus musculus GN=Clta PE=1 SV=2 - [CLCA_MOUSE],6,4,8,5,0.162,0.134,0.105,0.064,0.162,0.149,0.078,0.061,0.046,0.039,0.133,0.111,0.113,0.094,0.124,0.179,0.131,0.038,0.046,0.031,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.266,unclassified,unclassified,N,Vesicles - Clathrin,,,,,,,,
O88983,STX8_MOUSE,Syntaxin-8 OS=Mus musculus GN=Stx8 PE=1 SV=1 - [STX8_MOUSE],6,4,8,6,0.000,0.046,0.147,0.126,0.350,0.183,0.068,0.047,0.004,0.030,0.001,0.068,0.103,0.181,0.306,0.215,0.081,0.025,0.013,0.007,unknown,Phenotype 3,unknown,unknown,Lysosome,0.628,unclassified,unclassified,N,,,,,,,,,
P08030,APT_MOUSE,Adenine phosphoribosyltransferase OS=Mus musculus GN=Aprt PE=2 SV=2 - [APT_MOUSE],6,5,8,12,0.508,0.081,0.136,0.054,0.076,0.048,0.022,0.026,0.019,0.029,0.503,0.085,0.114,0.087,0.083,0.050,0.033,0.014,0.011,0.021,unknown,Phenotype 5,unknown,unknown,Cytosol,0.821,unclassified,Cytosol,N,,,,,,,,,
P29351,PTN6_MOUSE,Tyrosine-protein phosphatase non-receptor type 6 OS=Mus musculus GN=Ptpn6 PE=1 SV=2 - [PTN6_MOUSE],6,9,8,10,0.155,0.160,0.135,0.050,0.064,0.049,0.057,0.127,0.069,0.134,0.164,0.089,0.113,0.097,0.090,0.097,0.058,0.069,0.114,0.109,unknown,unknown,unknown,unknown,Cytosol,0.156,unclassified,unclassified,N,,,,,,,,,
